app,app_cat
金山WPS OFFICE手机版,办公管理
百度云,办公管理
钉钉,办公管理
百度地图,便捷生活
高德地图,便捷生活
墨迹天气,便捷生活
58同城,便捷生活
京东商城,电子商务
苏宁,电子商务
蘑菇街,电子商务
一号店,电子商务
网易严选,电子商务
聚美优品,电子商务
洋码头,电子商务
卷皮,电子商务
掌阅书城,电子阅读
追书神器,电子阅读
中华万年历,个人工具
Keep,健康医疗
美柚,健康医疗
平安好医生,健康医疗
柚宝宝孕育,健康医疗
咕咚运动,健康医疗
支付宝,金融理财
大智慧,金融理财
携程旅行,旅行预订
去哪儿旅行网,旅行预订
铁路12306,旅行预订
驴妈妈,旅行预订
南方航空,旅行预订
中国国际航空,旅行预订
海南航空,旅行预订
大众点评网,美食外卖
饿了么,美食外卖
美颜相机,拍摄美化
汽车之家,汽车服务
易车,汽车服务
太平洋汽车,汽车服务
驾考宝典,汽车服务
宝宝树孕育,亲子服务
新浪微博,社交网络
QQ空间,社交网络
探探,社交网络
百度搜索,实用工具
搜狗输入法,实用工具
腾讯视频,视频服务
爱奇艺,视频服务
微信,通讯聊天
QQ,通讯聊天
网易云音乐,音乐音频
酷狗音乐,音乐音频
开心消消乐,游戏服务
贪吃蛇大作战,游戏服务
今日头条,综合资讯
网易新闻,综合资讯
